song_title,artist,city,weather_main,temperature,ingested_at,lyrics_preview,row_num,song_mood,weather_mood
espresso,Sabrina Carpenter,San Francisco,Clear,60.04,2025-05-19 03:36:01.386114 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:36:03.454967 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,53.08,2025-05-19 03:36:03.470633 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:36:03.462503 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 03:36:03.470153 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:36:07.807607 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:36:07.827051 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,60.98,2025-05-19 03:36:07.834065 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 03:36:07.832998 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:36:12.703637 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:36:12.711919 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,65.21,2025-05-19 03:36:12.718226 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 03:36:12.724798 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:36:17.009044 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,61.61,2025-05-19 03:36:17.025598 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:36:17.029679 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 03:36:17.029101 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:36:26.982194 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:36:26.99958 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 03:36:27.006416 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,80.42,2025-05-19 03:36:27.007305 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:36:29.694559 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:36:29.712892 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 03:36:29.720102 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,46,2025-05-19 03:36:29.737118 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:36:33.8704 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,55.47,2025-05-19 03:36:33.886579 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:36:33.888548 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 03:36:33.905906 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:36:40.792958 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:36:40.813505 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,80.35,2025-05-19 03:36:40.813247 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clear,,2025-05-19 03:36:40.819952 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:36:46.209005 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,71.28,2025-05-19 03:36:46.236519 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:36:46.238972 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 03:36:46.229425 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Pink + White,Frank Ocean,San Francisco,Clear,58.24,2025-05-19 03:36:48.964489 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:36:48.957841 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:36:48.96606 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 03:36:49.074582 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:36:52.434198 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:36:52.452556 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,53.08,2025-05-19 03:36:52.445883 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 03:36:52.453432 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:36:52.785976 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:36:52.766491 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 03:36:52.794594 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,61.02,2025-05-19 03:36:52.790337 UTC,Lyrics preview unavailable.,,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:37:03.326318 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:37:03.350931 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 03:37:03.34944 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,65.21,2025-05-19 03:37:03.361751 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:37:05.31979 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:37:05.335078 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 03:37:05.352059 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,61.65,2025-05-19 03:37:05.334496 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:37:09.670929 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,80.42,2025-05-19 03:37:09.689035 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:37:09.691745 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 03:37:09.705421 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:37:11.788606 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:37:11.807352 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,46,2025-05-19 03:37:11.810949 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 03:37:11.806081 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Lovers Rock,TV Girl,Seattle,Clouds,55.47,2025-05-19 03:37:14.100058 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:37:14.079936 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:37:14.104768 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 03:37:14.101619 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:23:04.159796 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:23:04.33848 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:23:04.425337 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,63.97,2025-05-19 04:23:05.332852 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:23:10.518413 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,60.51,2025-05-19 04:23:10.58577 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:23:10.551782 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:23:10.559812 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:12.106268 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:12.137332 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:12.145666 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,79.86,2025-05-19 04:23:12.143115 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:23:13.760195 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:23:13.718236 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,46.17,2025-05-19 04:23:13.767561 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:23:13.759275 UTC,"Maybe I
Lost my mind
No one noticed",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:23:16.333198 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:23:16.362787 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,52.38,2025-05-19 04:23:16.374387 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:23:16.433622 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,79.29,2025-05-19 04:23:16.763521 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:23:16.760096 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:23:16.731384 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:23:16.777815 UTC,Lyrics preview unavailable.,,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:23:17.905808 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,70.38,2025-05-19 04:23:17.945957 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:23:17.944128 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:23:17.948778 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:23:20.633814 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:23:20.669912 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:23:20.67741 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,57.31,2025-05-19 04:23:20.685227 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
Party 4 U,Charli XCX,Denver,Clouds,51.66,2025-05-19 04:23:23.092162 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:23:23.055298 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:23:23.107309 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:23:23.098091 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:23:25.646425 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:23:25.682155 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,59.43,2025-05-19 04:23:25.716503 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:23:25.816289 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:23:28.053815 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,63.97,2025-05-19 04:23:28.102743 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:23:28.085775 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:23:28.098662 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:23:30.508261 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:23:30.548928 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:23:30.559899 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,60.51,2025-05-19 04:23:30.561958 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:34.796213 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:34.803155 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:23:34.804622 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,79.86,2025-05-19 04:23:34.815245 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:23:37.064558 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:23:37.080233 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,46.17,2025-05-19 04:23:37.086941 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:23:37.081026 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:23:38.919694 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:23:38.938788 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,52.38,2025-05-19 04:23:38.94998 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:23:39.019854 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:23:44.432042 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:23:44.459893 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,79.29,2025-05-19 04:23:44.474625 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:23:44.45609 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:23:52.038087 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:23:52.052806 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:23:52.056712 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,70.38,2025-05-19 04:23:52.058074 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Pink + White,Frank Ocean,San Francisco,Clear,57.31,2025-05-19 04:23:55.22719 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:23:55.208517 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:23:55.225534 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:23:55.231421 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:23:56.705803 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:23:56.724333 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,51.66,2025-05-19 04:23:56.725811 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:23:56.729292 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:23:57.084614 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:23:57.102839 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,59.43,2025-05-19 04:23:57.102745 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:23:57.101849 UTC,Lyrics preview unavailable.,,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:24:02.333287 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,63.97,2025-05-19 04:24:02.357308 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:24:02.370267 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:24:02.421773 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:24:06.591664 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:24:06.605674 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,60.51,2025-05-19 04:24:06.605462 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:24:06.609174 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:24:08.919546 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
